Video,QID,Language Query,Type,IDs,Start,End,Revision
8ae8e7ed,,A tiger turns around and bites the neck of the prey,M,1,6,19,
8ae8e7ed,,A tiger walks away from the camera,M,2,5,16,
8ae8e7ed,,A tiger moves its head up from the dead prey,M,3,5,9,
8ae8e7ed,,A tiger walks to the right,M,4,13,21,
8ae8e7ed,,A tiger makes a swift turn to the left,M,4,26,39,
8ae8e7ed,,A tiger walks backwards,M,1,26,38,
8ae8e7ed,,A tiger turns around towards the camera,M,2,14,25,
8ae8e7ed,,A tiger starts chasing another tiger taking away the prey,M,3,25,39,
8ae8e7ed,,A tiger starts chasing another tiger taking away the prey,M,4,33,39,
8c8b7913,,A cow stops eating grass and starts walking,M,3,44,67,
8c8b7913,,A cow appears in the frame from the right side of the camera,M,9,13,27,
8c8b7913,,A cow starts walking towards the camera,M,6,15,43,
8c8b7913,,A cow looks down on the field,M,5,39,44,
8c8b7913,,A cow pauses walking for a while,M,5,42,49,
8c8b7913,,A cow moves its head slightly to the right as it eats,M,7,49,54,
8c494902,,A horse overtakes all other horses,M,1,1,17,
8c494902,,A horse goes slightly to the right,M,1,30,36,
8c494902,,A horse runs behind the wall structures,M,3,34,40,
8c494902,,A horse runs behind the wall structures,M,4,32,37,
8c494902,,A horse runs behind the wall structures,M,2,38,40,
8c494902,,A horse runs in front of the wall structures,M,1,25,31,
8cf49218,,A zebra takes a right turn,M,1,15,23,
8cf49218,,A zebra walks behind the tree trunks,M,1,15,25,
8cf49218,,A zebra starts walking,M,2,4,25,
8d0d641a,,A duck disappears from the frame from the right side of the camera,M,8,12,14,
8d0d641a,,A duck runs in and eats from the food bowl,M,12,73,80,
8d0d641a,,A duck turns away from the camera and walks away from the camera,M,12,129,140,
8d0d641a,,A duck walks towards the camera,M,12,151,160,
8d0d641a,,A duck stops eating and runs away from the camera direction,M,3,9,24,
8d0d641a,,A duck disappears from the frame from the left side of the camera,M,5,85,93,
8d0d641a,,A duck disappears from the frame from the left side of the camera,M,3,51,55,
8d0d641a,,A duck turns toward the camera and stops briefly,M,3,41,45,
8d0d641a,,A duck moves its head up from the food bowl and starts running towards the camera,M,7,2,16,
8d0d641a,,A duck takes a bite from the food bowl,M,5,1,5,
8d0d641a,,A ducks turns left and starts walking,M,5,19,44,
8d0d641a,,A duck stops walking,M,5,64,71,
8d0d641a,,A duck disappears from the frame from the left side of the camera,M,5,85,94,
